Age	Fare	Name	Parents/Children Aboard	Pclass	Sex	Siblings/Spouses Aboard	Survived
18.0	11.5	Mr. Edgardo Samuel Andrew	0	2	male	0	0
19.0	36.75	Mr. Joseph Charles Nicholls	1	2	male	1	0
27.0	7.7958	Mr. August Edvard Andersson	0	3	male	0	1
9.0	34.375	Miss. Robina Maggie Ford	2	3	female	2	0
36.5	26.0	Mr. Michel Navratil	2	2	male	0	0
42.0	13.0	Rev. Thomas Roussel Davids Byles	0	2	male	0	0
51.0	12.525	Rev. Robert James Bateman	0	2	male	0	0
55.0	16.0	Mrs. (Mary D Kingcome) Hewlett	0	2	female	0	1
22.0	66.6	Mrs. Thomas (Edith Wearne) Pears	0	1	female	1	1
55.5	8.05	Mr. Alfonzo Meo	0	3	male	0	0
40.5	14.5	Mr. Austin Blyler van Billiard	2	3	male	0	0
27.0	7.3125	Mr. Ole Martin Olsen	0	3	male	0	0
51.0	61.3792	Mr. Charles Duane Williams	1	1	male	0	0
16.0	7.7333	Miss. Katherine Gilnagh	0	3	female	0	1
30.0	8.05	Mr. Harry Corn	0	3	male	0	0
37.0	8.6625	Mr. Mile Smiljanic	0	3	male	0	0
5.0	69.55	Master. Thomas Henry Sage	2	3	male	8	0
44.0	16.1	Mr. John Hatfield Cribb	1	3	male	0	0
2.0	29.125	Master. Eugene Rice	1	3	male	4	0
40.0	15.75	Mrs. James (Elizabeth Inglis Milne) Watt	0	2	female	0	1
26.0	7.775	Mr. John Viktor Bengtsson	0	3	male	0	0
17.0	8.6625	Mr. Jovo Calic	0	3	male	0	0
1.0	39.6875	Master. Eino Viljami Panula	1	3	male	4	0
9.0	20.525	Master. Frank John William Goldsmith	2	3	male	0	1
48.0	55.0	Mrs. (Edith Martha Bowerman) Chibnall	1	1	female	0	1
45.0	27.9	Mrs. William (Anna Bernhardina Karlsson) Skoog	4	3	female	1	0
60.0	25.925	Mr. John D Baumann	0	1	male	0	0
28.0	56.4958	Mr. Lee Ling	0	3	male	0	0
61.0	33.5	Mr. Wyckoff Van der hoef	0	1	male	0	0
23.0	13.0	Mr. Charles Eugene Williams	0	2	male	0	1
4.0	29.125	Master. Arthur Rice	1	3	male	4	0
1.0	11.1333	Miss. Eleanor Ileen Johnson	1	3	female	1	1
21.0	7.925	Mr. Antti Wilhelm Sivola	0	3	male	0	0
56.0	30.6958	Mr. James Clinch Smith	0	1	male	0	0
18.0	7.8542000000000005	Mr. Klas Albin Klasen	1	3	male	1	0
5.0	25.4667	Master. Henry Forbes Lefebre	1	3	male	3	0
50.0	28.7125	Miss. Ann Elizabeth Isham	0	1	female	0	0
30.0	13.0	Mr. Reginald Hale	0	2	male	0	0
36.0	0.0	Mr. Lionel Leonard	0	3	male	0	0
8.0	69.55	Miss. Constance Gladys Sage	2	3	female	8	0
31.0	18.0	Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke	0	3	female	1	0
39.0	15.05	Mr. Rene Pernot	0	2	male	0	0
9.0	31.3875	Master. Clarence Gustaf Hugo Asplund	2	3	male	4	0
1.0	39.0	Master. Richard F Becker	1	2	male	2	1
4.0	22.025	Miss. Luise Gretchen Kink-Heilmann	2	3	female	0	1
39.0	50.0	Mr. Hugh Roscoe Rood	0	1	male	0	0
26.0	15.5	Mrs. Thomas (Johanna Godfrey) O'Brien	0	3	female	1	1
45.0	26.55	Mr. Charles Hallace Romaine	0	1	male	0	1
40.0	15.5	Mr. John Bourke	1	3	male	1	0
36.0	7.8958	Mr. Stjepan Turcin	0	3	male	0	0
32.0	13.0	Mrs. (Rosa) Pinsky	0	2	female	0	1
22.0	7.225	Mrs. Fatima Masselmani	0	3	female	0	1
19.0	13.0	Mr. William Carbines	0	2	male	0	0
19.0	7.8542000000000005	Miss. Carla Christine Nielsine Andersen-Jensen	0	3	female	1	1
3.0	26.0	Master. Michel M Navratil	1	2	male	1	1
44.0	27.7208	Mrs. James Joseph (Margaret Tobin) Brown	0	1	female	0	1
58.0	146.5208	Miss. Elise Lurette	0	1	female	0	1
28.0	7.75	Mr. Robert Mernagh	0	3	male	0	0
42.0	8.4042	Mr. Karl Siegwart Andreas Olsen	1	3	male	0	0
21.0	7.75	Miss. Margaret Madigan	0	3	female	0	1
24.0	13.0	Miss. Henriette Yrois	0	2	female	0	0
28.0	9.5	Mr. Nestor Cyriel Vande Walle	0	3	male	0	0
26.0	7.925	Miss. Laina Heikkinen	0	3	female	0	1
35.0	26.0	Mr. Joseph J Fynney	0	2	male	0	0
17.0	69.55	Mr. Frederick Sage	2	3	male	8	0
34.0	6.4958	Mr. Jakob Alfred Johanson	0	3	male	0	0
45.5	7.225	Mr. Gerious Youseff	0	3	male	0	0
18.0	8.05	Mr. Gurshon Cohen	0	3	male	0	1
2.0	10.4625	Miss. Telma Matilda Strom	1	3	female	0	0
32.0	15.85	Mr. Karl Alfred Backstrom	0	3	male	1	0
26.0	18.7875	Mr. Nassef Cassem Albimona	0	3	male	0	1
16.0	7.75	Miss. Helen Carr	0	3	female	0	1
40.0	31.0	Mr. Henry Blank	0	1	male	0	1
24.0	7.05	Mr. Ahmed Ali	0	3	male	0	0
34.0	13.0	Mr. Lawrence Beesley	0	2	male	0	1
35.0	21.0	Miss. Clear Annie Cameron	0	2	female	0	1
22.0	7.25	Mr. John Henry Perkin	0	3	male	0	0
30.0	13.0	Mr. Hans Kristensen Givard	0	2	male	0	0
22.0	7.75	Mr. Philip Kiernan	0	3	male	1	0
31.0	113.275	Miss. Madeleine Newell	0	1	female	1	1
27.0	7.925	Miss. Eliina Honkanen	0	3	female	0	1
42.0	27.0	Mr. Sidney Samuel Jacobsohn	0	2	male	1	0
32.0	76.2917	Miss. Albina Bazzani	0	1	female	0	1
30.0	10.5	Mr. Walter Harris	0	2	male	0	0
16.0	8.05	Mr. Victor Francis Sunderland	0	3	male	0	1
15.0	8.0292	Miss. Anna McGowan	0	3	female	0	1
27.0	13.0	Mr. James H Bracken	0	2	male	0	0
51.0	8.05	Mr. George Henry Green	0	3	male	0	0
22.0	7.8958	Mr. Christo Nenkoff	0	3	male	0	0
38.0	90.0	Mr. Frederick Maxfield Hoyt	0	1	male	1	1
22.0	9.35	Mr. Karl Ivar Sven Berglund	0	3	male	0	0
19.0	10.5	Mr. William John Mellors	0	2	male	0	1
20.5	7.25	Mr. John Hall Lovell	0	3	male	0	0
18.0	13.0	Mr. Arne Jonas Fahlstrom	0	2	male	0	0
12.0	25.4667	Miss. Mathilde Lefebre	1	3	female	3	0
35.0	83.475	Mrs. Henry Birkhardt (Irene Wallach) Harris	0	1	female	1	1
28.0	35.5	Mr. William Thompson Sloper	0	1	male	0	1
29.0	7.775	Mr. Bengt Edvin Larsson	0	3	male	0	0
59.0	13.5	Mr. Ernst Adolf Sjostedt	0	2	male	0	0
5.0	31.3875	Miss. Lillian Gertrud Asplund	2	3	female	4	1
24.0	10.5	Mr. Robert William Norman Leyson	0	2	male	0	0
21.0	7.55	Miss. Alice Phoebe Harknett	0	3	female	0	0
44.0	26.0	Mr. Stephen Hold	0	2	male	1	0
8.0	26.25	Miss. Marjorie Collyer	2	2	female	0	1
19.0	10.5	Mr. Frederick William Pengelly	0	2	male	0	0
33.0	12.275	Mr. George Henry Hunt	0	2	male	0	0
19.0	14.4542	Miss. Thamine Zabour	0	3	female	1	0
8.0	21.075	Miss. Torborg Danira Palsson	1	3	female	3	0
18.0	15.5	Miss. Katherine Murphy	0	3	female	1	1
29.0	10.5	Mr. Reginald Charles Coleridge	0	2	male	0	0
22.0	7.125	Mr. Matti Alexanteri Maenpaa	0	3	male	0	0
30.0	7.225	Mr. Sleiman Attalah	0	3	male	0	0
44.0	90.0	Dr. William Edward Minahan	0	1	male	2	0
25.0	7.775	Miss. Agda Thorilda Viktoria Lindahl	0	3	female	0	0
24.0	14.5	Mrs. William (Anna) Hamalainen	2	2	female	0	1
37.0	52.5542	Mr. Richard Leonard Beckwith	1	1	male	1	1
54.0	26.0	Rev. Ernest Courtenay Carter	0	2	male	1	0
18.0	7.25	Mr. James George Reed	0	3	male	0	0
38.0	31.3875	Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund	5	3	female	1	1
29.0	10.4625	Mrs. Wilhelm (Elna Matilda Persson) Strom	1	3	female	1	0
62.0	26.55	Mr. William Thomas Stead	0	1	male	0	0
30.0	16.1	Mr. William Arthur Lobb	0	3	male	1	0
41.0	20.2125	Mrs. Viktor (Helena Wilhelmina) Rosblom	2	3	female	0	0
29.0	15.2458	Mrs. Darwis (Hanne Youssef Razi) Touma	2	3	female	0	1
38.0	79.2	Mrs. Gertrude Maybelle Thorne	0	1	female	0	1
30.0	86.5	Miss. Gladys Cherry	0	1	female	0	1
35.0	512.3292	Miss. Anna Ward	0	1	female	0	1
50.0	26.0	Mrs. (Lutie Davis) Parrish	1	2	female	0	1
3.0	31.3875	Master. Edvin Rojj Felix Asplund	2	3	male	4	1
26.0	7.225	Mr. Farred Chehab Emir	0	3	male	0	0
52.0	79.65	Mr. Emil Taussig	1	1	male	1	0
40.0	0.0	Mr. William Harrison	0	1	male	0	0
21.0	7.75	Miss. Delia Henry	0	3	female	0	0
36.0	10.5	Mr. David Reeves	0	2	male	0	0
16.0	39.6875	Mr. Ernesti Arvid Panula	1	3	male	4	0
25.0	7.775	Mr. Ernst Ulrik Persson	0	3	male	1	1
58.0	153.4625	Mrs. William Thompson (Edith Junkins) Graham	1	1	female	0	1
35.0	135.6333	Miss. Amelia Bissette	0	1	female	0	1
28.0	31.0	Mr. Alexander Cairns	0	1	male	0	0
25.0	0.0	Mr. William Henry Tornquist	0	3	male	0	1
19.0	263.0	Mr. Charles Alexander Fortune	2	1	male	3	0
41.0	19.5	Mrs. (Elizabeth Anne Maidment) Mellinger	1	2	female	0	1
37.0	29.7	Mr. Charles H Natsch	1	1	male	0	0
33.0	7.75	Miss. Hanora Healy	0	3	female	0	1
63.0	77.9583	Miss. Kornelia Theodosia Andrews	0	1	female	1	1
45.0	7.75	Miss. Augusta Charlotta Lindblom	0	3	female	0	0
21.0	0.0	Mr. Francis Parkes	0	2	male	0	0
7.0	29.125	Master. Eric Rice	1	3	male	4	0
35.0	20.25	Mrs. Stanton (Rosa Hunt) Abbott	1	3	female	1	1
65.0	7.75	Mr. Frank Duane	0	3	male	0	0
28.0	7.8542000000000005	Mr. Nils Johan Goransson Olsson	0	3	male	0	0
24.0	7.8792	Miss. Ellen O'Dwyer	0	3	female	0	1
16.0	9.5	Mr. Alfons de Pelsmaeker	0	3	male	0	0
19.0	8.05	Mr. Edward Arthur Dorking	0	3	male	0	1
57.0	26.0	Mr. Richard William Smith	0	1	male	0	0
33.0	8.6625	Mr. Ivan Stankovic	0	3	male	0	0
30.0	9.5	Mr. Theodore de Mulder	0	3	male	0	1
22.0	7.8958	Mr. Penko Naidenoff	0	3	male	0	0
42.0	13.0	Mr. Masabumi Hosono	0	2	male	0	1
22.0	7.75	Miss. Kate Connolly	0	3	female	0	1
26.0	78.85	Miss. Ellen Barber	0	1	female	0	1
19.0	91.0792	Mrs. Dickinson H (Helen Walton) Bishop	0	1	female	1	1
23.0	7.8958	Mr. Lalio Todoroff	0	3	male	0	0
36.0	12.875	Mr. Rene Jacques Levy	0	2	male	0	0
24.0	8.85	Miss. Aloisia Haas	0	3	female	0	0
24.0	7.8958	Mr. Ivan Mineff	0	3	male	0	0
30.0	27.7208	Mr. Ervin G Lewy	0	1	male	0	0
23.5	7.2292	Mr. Mansour Hanna	0	3	male	0	0
2.0	151.55	Miss. Helen Loraine Allison	2	1	female	1	0
47.0	30.5	Mr. Adolphe Saalfeld	0	1	male	0	1
50.0	247.5208	Mrs. James (Helene DeLaudeniere Chaput) Baxter	1	1	female	0	1
20.0	7.75	Miss. Anna Katherine Kelly	0	3	female	0	1
24.0	23.25	Mr. Bernard McCoy	0	3	male	2	1
35.0	53.1	Mrs. Jacques Heath (Lily May Peel) Futrelle	0	1	female	1	1
40.0	27.7208	Don. Manuel E Uruchurtu	0	1	male	0	0
19.0	0.0	Mr. William Cahoone Jr Johnson	0	3	male	0	0
46.0	12.35	Miss. Nora A Keane	0	2	female	0	1
28.0	8.05	Mr. Howard Hugh Williams	0	3	male	0	0
0.92	151.55	Master. Hudson Trevor Allison	2	1	male	1	1
42.0	110.8833	Miss. Margaret Fleming	0	1	female	0	1
17.0	108.9	Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana	0	1	female	1	1
30.0	24.0	Mr. Samuel Abelson	0	2	male	1	0
30.0	56.9292	Miss. Laura Mabel Francatelli	0	1	female	0	1
24.0	83.1583	Miss. Margaret Bechstein Hays	0	1	female	0	1
18.0	262.375	Miss. Emily Borie Ryerson	2	1	female	2	1
48.0	146.5208	Mrs. William Augustus (Marie Eugenie) Spencer	0	1	female	1	1
26.0	26.0	Mrs. William (Anna Sylfven) Lahtinen	1	2	female	1	0
28.0	7.8958	Mr. Ignjac Hendekovic	0	3	male	0	0
43.0	26.25	Mr. Benjamin Hart	1	2	male	1	0
26.0	7.8542000000000005	Miss. Helmina Josefina Nilsson	0	3	female	0	1
24.0	26.0	Mrs. Sinai (Miriam Sternin) Kantor	0	2	female	1	1
54.0	14.0	Dr. Ernest Moraweck	0	2	male	0	0
31.0	164.8667	Miss. Mary Natalie Wick	2	1	female	0	1
40.0	134.5	Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden	1	1	female	1	1
22.0	7.25	Mr. Samuel Dennis	0	3	male	0	0
27.0	7.8958	Mr. Yoto Danoff	0	3	male	0	0
18.0	7.75	Miss. Mary Agatha Glynn	0	3	female	0	1
30.0	12.35	Miss. Hilda Mary Slayter	0	2	female	0	1
22.0	29.0	Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell	1	2	female	1	1
20.0	69.55	Mr. George John Jr Sage	2	3	male	8	0
36.0	135.6333	Miss. Marie Grice Young	0	1	female	0	1
61.0	6.2375	Mr. Johan Hansen Nysveen	0	3	male	0	0
36.0	13.0	Mrs. (Ada E Hall) Ball	0	2	female	0	1
31.0	20.525	Mrs. Frank John (Emily Alice Brown) Goldsmith	1	3	female	1	1
16.0	57.9792	Miss. Jean Gertrude Hippach	1	1	female	0	1
28.0	23.25	Miss. Agnes McCoy	0	3	female	2	1
45.5	28.5	Mr. Austen Partner	0	1	male	0	0
66.0	10.5	Mr. Edward H Wheadon	0	2	male	0	0
38.0	153.4625	Mr. George Edward Graham	1	1	male	0	0
16.0	18.0	Mr. Leo Edmondus Vander Planke	0	3	male	2	0
42.0	133.65	Mrs. Henry William (Clara Heinsheimer) Frauenthal	0	1	female	1	1
30.0	7.8958	Mr. Mitto Denkoff	0	3	male	0	0
29.0	66.6	Mr. Thomas Clinton Pears	0	1	male	1	0
41.0	134.5	Miss. Elizabeth Margaret Burns	0	1	female	0	1
45.0	8.05	Mr. Karl Edwart Dahl	0	3	male	0	1
45.0	35.5	Mr. Stephen Weart Blackwell	0	1	male	0	0
2.0	26.0	Master. Edmond Roger Navratil	1	2	male	1	1
24.0	263.0	Miss. Alice Elizabeth Fortune	2	1	female	3	1
28.0	82.1708	Mr. Edgar Joseph Meyer	0	1	male	1	0
28.0	13.0	Mr. Erik Gustaf Collander	0	2	male	0	0
25.0	13.0	Mr. Charles Frederick Waddington Sedgwick	0	2	male	0	0
36.0	13.0	Mr. Stanley Hubert Fox	0	2	male	0	0
24.0	13.0	Miss. Amelia Brown	0	2	female	0	1
40.0	13.0	Miss. Marion Elsie Smith	0	2	female	0	1
34.0	16.1	Mrs. Thomas Henry (Mary E Finck) Davison	0	3	female	1	1
3.0	15.9	Master. William Loch Coutts	1	3	male	1	1
42.0	8.6625	Mr. Jovan Dimic	0	3	male	0	0
23.0	9.225	Mr. Nils Martin Odahl	0	3	male	0	0
43.0	35.0	Mr. Fletcher Fellows Williams-Lambert	0	1	male	0	0
42.0	52.0	Mr. Alexander Oskar Holverson	0	1	male	1	0
15.0	7.2292	Mr. Tannous Elias	1	3	male	1	0
25.0	17.8	Mr. Josef Arnold-Franchi	0	3	male	1	0
23.0	7.225	Mr. Wazli Yousif	0	3	male	0	0
28.0	9.5	Mr. Leo Peter Vanden Steen	0	3	male	0	0
22.0	55.0	Miss. Elsie Edith Bowerman	1	1	female	0	1
38.0	13.0	Miss. Annie Clemmer Funk	0	2	female	0	0
22.0	7.8792	Miss. Mary McGovern	0	3	female	0	1
23.0	7.8792	Miss. Helen Mary Mockler	0	3	female	0	1
40.0	27.9	Mr. Wilhelm Skoog	4	3	male	1	0
29.0	27.7208	Mr. Sebastiano del Carlo	0	2	male	1	0
18.0	7.2292	Mr. Hanna Mamee	0	3	male	0	1
45.0	14.4542	Mrs. (Catherine David) Barbara	1	3	female	0	0
35.0	7.05	Mr. Adola Asim	0	3	male	0	0
27.0	15.5	Mr. Thomas O'Brien	0	3	male	1	0
30.0	7.25	Mr. Mauritz Nils Martin Adahl	0	3	male	0	0
60.0	75.25	Mrs. Frank Manley (Anna Sophia Atkinson) Warren	0	1	female	1	1
35.0	7.2292	Mrs. (Mantoura Boulos) Moussa	0	3	female	0	1
22.0	7.75	Miss. Annie Jermyn	0	3	female	0	1
24.0	69.3	Mme. Leontine Pauline Aubart	0	1	female	0	1
25.0	55.4417	Mr. George Achilles Harder	0	1	male	1	1
18.0	6.4958	Mr. Jakob Alfred Wiklund	0	3	male	1	0
21.0	8.05	Mr. Ernest Charles Cann	0	3	male	0	0
19.0	8.05	Mr. William Thomas Beavan	0	3	male	0	0
22.0	135.6333	Mr. Sante Ringhini	0	1	male	0	0
3.0	21.075	Miss. Stina Viola Palsson	1	3	female	3	0
25.0	82.1708	Mrs. Edgar Joseph (Leila Saks) Meyer	0	1	female	1	1
22.0	7.25	Miss. Aurora Adelia Landergren	0	3	female	0	1
27.0	211.5	Mr. Harry Elkins Widener	2	1	male	0	0
20.0	4.0125	Mr. Tannous Betros	0	3	male	0	0
19.0	7.775	Mr. Karl Gideon Gustafsson	0	3	male	0	0
42.0	227.525	Miss. Rosalie Bidois	0	1	female	0	1
1.0	15.7417	Miss. Maria Nakid	2	3	female	0	1
18.0	18.0	Miss. Augusta Maria Vander Planke	0	3	female	2	0
32.0	7.925	Mr. Juho Tikkanen	0	3	male	0	0
35.0	52.0	Mrs. Alexander Oskar (Mary Aline Towner) Holverson	0	1	female	1	1
27.0	7.8958	Mr. Vasil Plotcharsky	0	3	male	0	0
18.0	73.5	Mr. Charles Henry Davies	0	2	male	0	0
1.0	46.9	Master. Sidney Leonard Goodwin	2	3	male	5	0
36.0	13.0	Miss. Kate Buss	0	2	female	0	1
19.0	7.7292000000000005	Mr. Matthew Sadlier	0	3	male	0	0
17.0	12.0	Miss. Bertha Lehmann	0	2	female	0	1
36.0	120.0	Mr. William Ernest Carter	2	1	male	1	1
21.0	7.7958	Mr. Carl Olof Jansson	0	3	male	0	1
14.0	11.2417	Miss. Jamila Nicola-Yarred	0	3	female	1	1
28.0	7.925	Mr. Johan Birger Gustafsson	0	3	male	2	0
23.0	113.275	Miss. Marjorie Newell	0	1	female	1	1
24.0	16.7	Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom	2	3	female	0	1
22.0	7.7958	Mr. Erik Johansson	0	3	male	0	0
31.0	7.8542000000000005	Miss. Elina Olsson	0	3	female	0	0
46.0	26.0	Mr. Peter David McKane	0	2	male	0	0
23.0	10.5	Dr. Alfred Pain	0	2	male	0	0
28.0	12.65	Mrs. William H (Jessie L) Trout	0	2	female	0	1
39.0	7.925	Mr. Juha Niskanen	0	3	male	0	1
26.0	8.05	Mr. John Adams	0	3	male	0	0
35.0	8.05	Mr. William Henry Allen	0	3	male	0	0
40.0	9.475	Mrs. Johan (Johanna Persdotter Larsson) Ahlin	0	3	female	1	0
21.0	9.825	Miss. Mari Aina Jussila	0	3	female	1	0
28.0	15.85	Mr. Pekka Pietari Hakkarainen	0	3	male	1	0
20.0	8.6625	Miss. Marija Oreskovic	0	3	female	0	0
34.0	21.0	Mr. Shadrach Gale	0	2	male	1	0
51.0	7.75	Mr. Carl/Charles Peter Widegren	0	3	male	0	0
3.0	18.75	Master. William Rowe Richards	1	2	male	1	1
21.0	7.775	Mr. Hans Martin Monsen Birkeland	0	3	male	0	0
3.0	25.4667	Miss. Ida Lefebre	1	3	female	3	0
42.0	7.8958	Mr. Todor Sdycoff	0	3	male	0	0
27.0	6.8583	Mr. Henry Hart	0	3	male	0	0
27.0	21.0	Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin	0	2	female	1	0
33.0	90.0	Miss. Daisy E Minahan	0	1	female	1	1
22.0	0.0	Mr. Alfred Fleming Cunningham	0	2	male	0	0
44.0	7.925	Mr. Johan Julian Sundman	0	3	male	0	1
32.0	8.05	Mrs. Thomas (Annie Louise Rowley) Meek	0	3	female	0	0
34.0	32.5	Mrs. James Vivian (Lulu Thorne Christian) Drew	1	2	female	1	1
18.0	13.0	Miss. Lyyli Karoliina Silven	2	2	female	0	1
30.0	13.0	Mr. William John Matthews	0	2	male	0	0
10.0	24.15	Miss. Catharina Van Impe	2	3	female	0	0
21.0	7.7333	Mr. David Charters	0	3	male	0	0
29.0	7.875	Mr. Leo Zimmerman	0	3	male	0	0
3.0	41.5792	Miss. Simonne Marie Anne Andree Laroche	2	2	female	1	1
28.0	14.4	Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom	1	3	female	1	0
18.0	20.2125	Mr. Viktor Richard Rosblom	1	3	male	1	0
54.0	7.25	Mr. Phillippe Wiseman	0	3	male	0	0
28.0	26.0	Mrs. Charles V (Ada Maria Winfield) Clarke	0	2	female	1	1
19.0	26.0	Miss. Kate Florence Phillips	0	2	female	0	1
28.0	7.75	Mr. James Flynn	0	3	male	0	0
32.0	8.05	Mr. Berk (Berk Trembisky) Pickard	0	3	male	0	1
28.0	26.55	Mr. Mauritz Hakan Bjornstrom-Steffansson	0	1	male	0	1
33.0	16.1	Mrs. Percival (Florence Kate White) Thorneycroft	0	3	female	1	1
42.0	26.0	Mrs. Charles Alexander (Alice Adelaide Slow) Louch	0	2	female	1	1
19.0	7.8792	Miss. Margaret Delia Devaney	0	3	female	0	1
17.0	7.125	Mr. Nikolai Erland Kallio	0	3	male	0	0
50.0	55.9	Mr. William Baird Silvey	0	1	male	1	0
14.0	120.0	Miss. Lucile Polk Carter	2	1	female	1	1
21.0	34.375	Miss. Doolina Margaret Ford	2	3	female	2	0
24.0	18.75	Mrs. Sidney (Emily Hocking) Richards	3	2	female	2	1
64.0	263.0	Mr. Mark Fortune	4	1	male	1	0
31.0	10.5	Mr. Johan Henrik Johannesson Kvillner	0	2	male	0	0
45.0	26.25	Mrs. Benjamin (Esther Ada Bloomfield) Hart	1	2	female	1	1
20.0	9.5	Mr. Leon Hampe	0	3	male	0	0
25.0	7.775	Mr. Johan Emil Petterson	0	3	male	1	0
30.0	8.05	Mr. William John Rogers	0	3	male	0	0
28.0	13.0	Ms. Encarnacion Reynaldo	0	2	female	0	1
29.0	8.1125	Mr. Bernt Johannesen-Bratthammer	0	3	male	0	1
4.0	81.8583	Master. Washington Dodge	2	1	male	0	1
13.0	19.5	Miss. Madeleine Violet Mellinger	1	2	female	0	1
34.0	26.55	Mr. Frederic Kimber Seward	0	1	male	0	1
5.0	19.2583	Miss. Marie Catherine Baclini	1	3	female	2	1
52.0	30.5	Major. Arthur Godfrey Peuchen	0	1	male	0	1
36.0	27.75	Mr. Edwy Arthur West	2	2	male	1	0
28.0	19.9667	Mr. Ingvald Olai Olsen Hagland	0	3	male	1	0
30.0	27.75	Mr. Benjamin Laventall Foreman	0	1	male	0	0
20.0	15.5	Mr. Denis Lennon	0	3	male	1	0
49.0	89.1042	Mr. Samuel L Goldenberg	0	1	male	1	1
24.0	8.05	Mr. Joseph Peduzzi	0	3	male	0	0
29.0	7.8958	Mr. Ivan Jalsevac	0	3	male	0	1
65.0	26.55	Mr. Francis Davis Millet	0	1	male	0	0
41.0	51.8625	Mrs. Frederick R (Marion) Kenyon	0	1	female	1	1
50.0	10.5	Miss. Ellen Toomey	0	2	female	0	1
17.0	7.75	Mr. Maurice O'Connor	0	3	male	0	0
48.0	26.55	Mr. Harry Anderson	0	1	male	0	1
34.0	8.05	Mr. William Morley	0	3	male	0	0
